Date;SDofDomBanks;OtherSD;TotalSD;M1Switzerland;SNBFXinv;SPIEX;SMI;SMIMid;Gov10yr;Gov3yr;Libor3M_CHF;OvernightLendingRate;CHFUSD;CHFEUR
2015-01-09;329059;59650.9;388709.9;567209;510062.4;208.3;9105.7;1769.49;0.201;-0.352;-0.117;-0.05;0.9859;0.8327
2015-01-16;339614.3;62407.4;402021.7;567209;510062.4;183.39;7899.59;1537.43;-0.08;-0.71;-0.426;-0.14;1.1647;1.0071
2015-01-23;365486.1;62736.5;428222.6;567209;510062.4;186.2;8161.16;1571.12;-0.293;-1.247;-0.954;0;1.1345;1.0142
2015-01-30;383324.6;59699.4;443024;567209;510062.4;191.31;8385.13;1625.07;-0.075;-0.792;-0.854;-1.25;1.0866;0.961
2015-02-06;384889.1;58148.2;443037.3;566951;507856.1;196.75;8587.99;1675.04;-0.083;-0.844;-0.885;0;1.0792;0.9537
2015-02-13;384920.1;58279.5;443199.6;566951;507856.1;201.13;8651.98;1713.47;0.013;-0.881;-0.907;0;1.0725;0.9416
2015-02-20;382965.3;60410.5;443375.8;566951;507856.1;206.15;8892.17;1758.97;0.042;-0.861;-0.897;0;1.0658;0.936
2015-02-27;383657;59713;443370;566951;507856.1;211.28;9014.53;1803.16;0;-0.835;-0.85;-1.05;1.0484;0.9363
2015-03-06;378793;64099;442892;567887;519330.2;214.42;9080.03;1827.44;-0.055;-0.648;-0.758;-0.3;1.0143;0.9355
2015-03-13;378797;64197;442994;567887;519330.2;216.24;9156.02;1840.12;-0.064;-0.815;-0.807;-0.65;0.995;0.9475
2015-03-20;376503;66985;443488;567887;519330.2;218.07;9396.29;1854.37;-0.09;-0.757;-0.79;-0.875;1.0259;0.948
2015-03-27;379353;64320;443673;567887;519330.2;213.94;9083.52;1806.66;-0.039;-0.772;-0.807;-0.4;1.04;0.9548
2015-04-03;377387;65806;443193;572826;531911.4;215.76;9130.6;1817.52;-0.081;-0.8;-0.814;-0.8;1.0511;0.9569
2015-04-10;377961;65571;443532;572826;531911.4;221;9471.46;1868.59;-0.109;-0.825;-0.804;-0.5;1.0211;0.9632
2015-04-17;383984;60906;444890;572826;531911.4;216.23;9245.92;1819.45;-0.179;-0.878;-0.816;-0.75;1.0502;0.9719
