Date;SDofDomBanks;OtherSD;TotalSD;M1Switzerland;SNBFXinv;SPIEX;SMI;SMIMid;Gov10yr;Gov3yr;Libor3M_CHF;OvernightLendingRate;CHFUSD;CHFEUR
2012-10-26;293309.4;79981.4;373290.8;522052;429917.7;147.8;6600.84;1193.78;0.494;-0.207;0.034;0.05;1.0699;0.827
2012-11-02;290678.6;81859.1;372537.7;527023;426769.5;149.37;6701.37;1211.2;0.469;-0.221;0.032;-0.11;1.0634;0.8286
2012-11-09;291522.4;80980.6;372503;527023;426769.5;147.54;6715.2;1193.97;0.419;-0.263;0.03;-0.035;1.054;0.8289
2012-11-16;292700;80343.7;373043.7;527023;426769.5;143.94;6508.66;1164.6;0.418;-0.266;0.03;-0.075;1.0576;0.8299
2012-11-23;294558.8;79350;373908.8;527023;426769.5;148.39;6715.09;1212.6;0.471;-0.243;0.03;-0.075;1.0773;0.8304
2012-11-30;293104.1;80241.8;373345.9;531588;428253.1;149.76;6820.6;1224.31;0.428;-0.253;0.03;-0.075;1.0775;0.8297
2012-12-07;292764.3;79848.9;372613.2;531588;428253.1;151.64;6925.25;1243.81;0.369;-0.312;0.014;-0.025;1.0701;0.8275
2012-12-14;294270.1;77949.4;372219.5;531588;428253.1;151.4;6902.51;1241.28;0.507;-0.249;0.016;-0.07;1.0895;0.8276
2012-12-21;292812.9;78538.5;371351.4;531588;428253.1;152.16;6889.54;1247.26;0.534;-0.253;0.012;-0.075;1.0925;0.8285
2012-12-28;288526.3;81115.4;369641.7;531588;428253.1;152.01;6822.44;1243.81;0.505;-0.218;0.012;0.025;1.0947;0.8282
2013-01-04;282639.5;86193.8;368833.3;536921;432208.9;156.66;7058.92;1291.09;0.557;-0.091;0.012;-0.15;1.0815;0.8275
2013-01-11;283683.1;86156.1;369839.2;536921;432208.9;158.56;7188.22;1303.68;0.632;-0.081;0.016;0;1.0946;0.8203
2013-01-18;284330.6;86793.8;371124.4;536921;432208.9;160.67;7368.8;1325.59;0.665;0.01;0.02;-0.05;1.0705;0.8035
2013-01-25;283522.1;87759.9;371282;536921;432208.9;161.5;7458.66;1332.09;0.724;0.064;0.02;-0.05;1.0793;0.802
2013-02-01;281934.2;88486;370420.2;535128;435882.7;161.01;7420.35;1328.42;0.755;0.058;0.024;-0.05;1.1009;0.8075
2013-02-08;280226.2;89838.9;370065.1;535128;435882.7;161.72;7395.97;1333.13;0.728;0.017;0.024;0.05;1.0902;0.8157
2013-02-15;285024.8;85242.4;370267.2;535128;435882.7;164.31;7500.57;1359.88;0.76;0.005;0.024;0.05;1.0848;0.8118
2013-02-22;288047.8;82921.7;370969.5;535128;435882.7;164.48;7554.38;1358.05;0.749;-0.009;0.024;-0.05;1.0759;0.8156
2013-03-01;286144.2;84760.9;370905.1;537330;439066.2;165.39;7601.99;1367.12;0.666;-0.047;0.022;0;1.0607;0.8146
2013-03-08;283026.3;87496.4;370522.7;537330;439066.2;167.41;7744.84;1388.52;0.749;0.007;0.022;-0.08;1.0511;0.8083
2013-03-15;282164.3;88590.6;370754.9;537330;439066.2;168.55;7864.39;1396.67;0.77;0.018;0.022;-0.05;1.0653;0.8147
2013-03-22;282978.8;88149.2;371128;537330;439066.2;165.35;7744.33;1366.61;0.708;-0.037;0.022;-0.08;1.0628;0.8177
2013-03-29;283798.7;87032.3;370831;537330;439066.2;166.6;7813.67;1381.27;0.691;-0.047;0.022;0;1.0532;0.8218
2013-04-05;281664.9;88739.3;370404.2;537862;445585.2;162.66;7641.11;1341.16;0.627;-0.076;0.022;-0.05;1.0703;0.8238
2013-04-12;281734.5;89036.2;370770.7;537862;445585.2;165.13;7760.6;1368.08;0.632;-0.067;0.02;-0.08;1.0783;0.8222
2013-04-19;284326.7;87000.8;371327.5;537862;445585.2;161.05;7618.76;1332.48;0.602;-0.089;0.02;-0.06;1.0713;0.8203
2013-04-26;284222.2;87402.2;371624.4;537862;445585.2;165.21;7856.32;1376.8;0.554;-0.127;0.02;0.185;1.0607;0.8143
2013-05-03;280793.5;90618.2;371411.7;546452;444254.6;166.93;7937.61;1394.6;0.557;-0.111;0.02;-0.07;1.0688;0.8152
2013-05-10;278526;92892.6;371418.6;546452;444254.6;170.59;8177.85;1429.12;0.596;-0.085;0.02;-0.13;1.0451;0.8046
2013-05-17;278637;93017.4;371654.4;546452;444254.6;170.91;8280.25;1431.8;0.599;-0.124;0.018;-0.1;1.0282;0.8008
2013-05-24;280966.6;90706.7;371673.3;546452;444254.6;169.21;8168.78;1414.48;0.635;-0.094;0.016;-0.11;1.0401;0.8042
2013-05-31;279215.7;91822.3;371038;546521;448348.6;168.7;7947.01;1410.81;0.7;-0.072;0.016;0;1.0468;0.8055
2013-06-07;275403.2;95080.3;370483.5;546521;448348.6;165.53;7784.84;1388.74;0.749;-0.022;0.016;0.05;1.0685;0.8082
2013-06-14;274706.5;95949.6;370656.1;546521;448348.6;163.57;7635.96;1372.69;0.748;-0.036;0.018;-0.07;1.0855;0.8134
2013-06-21;277450.4;93601.4;371051.8;546521;448348.6;161.32;7421.06;1343.28;0.918;0.058;0.018;0.05;1.0703;0.8154
2013-06-28;296861.7;73923.3;370785;546521;448348.6;163;7683.04;1363.8;0.998;0.055;0.019;-0.1;1.0582;0.8134
2013-07-05;320960;49083.4;370043.4;538865;438177.4;166.09;7781.98;1393.71;1.03;-0.01;0.019;-0.1;1.0375;0.8086
2013-07-12;323833.2;46174.9;370008.1;538865;438177.4;170.26;7983.18;1429.48;0.988;-0.007;0.019;-0.05;1.0566;0.8085
2013-07-19;322435.2;47707.3;370142.5;538865;438177.4;170.93;7928.12;1435.65;0.962;0.044;0.02;-0.05;1.0629;0.8085
2013-07-26;322372.5;47885.8;370258.3;538865;438177.4;167.98;7796.84;1403.14;1.028;0.044;0.022;-0.05;1.0772;0.8112
2013-08-02;320694.8;49127.1;369821.9;546948;444348.9;171.57;7963.93;1441.56;1.012;0.077;0.018;-0.05;1.0761;0.8106
2013-08-09;320401.8;49498.3;369900.1;546948;444348.9;174.07;7977.34;1462.98;0.964;0.054;0.018;-0.025;1.0841;0.8126
2013-08-16;320767.9;49581.7;370349.6;546948;444348.9;174;7961.31;1461.87;1.03;0.12;0.018;-0.05;1.0793;0.8098
2013-08-23;321597.5;48984.3;370581.8;546948;444348.9;174.93;8006.9;1472.21;1.126;0.137;0.018;-0.025;1.0847;0.81
2013-08-30;320865.2;49266.3;370131.5;546948;444348.9;171.06;7745.97;1430.26;1.053;0.072;0.018;-0.025;1.0754;0.8134
2013-09-06;318116.8;51466.4;369583.2;554359;443418.7;175.39;7950.78;1474.22;1.099;0.089;0.018;-0.1;1.0664;0.8092
2013-09-13;318105.7;51381.8;369487.5;554359;443418.7;177.19;8038.31;1490.13;1.131;0.09;0.021;-0.1;1.0757;0.8091
2013-09-20;317844.3;51636.3;369480.6;554359;443418.7;177.32;8105.39;1487.94;1.089;0.073;0.021;-0.1;1.0984;0.8122
2013-09-27;318453.4;51022.7;369476.1;554359;443418.7;176.79;8055;1481.76;1.016;0.024;0.022;-0.125;1.1039;0.8164
2013-10-04;319602.3;49445.3;369047.6;550480;443070.6;176.16;7943.71;1472.42;1.021;0.014;0.023;-0.025;1.1023;0.8131
2013-10-11;320879;48254.4;369133.4;550480;443070.6;177.23;7936.08;1482.91;1.01;-0.022;0.019;-0.02;1.0968;0.8098
2013-10-18;320460.4;49017.7;369478.1;550480;443070.6;178.93;8084.65;1501.54;1.017;0.005;0.019;-0.05;1.1091;0.8102
2013-10-25;319247.9;50408.8;369656.7;550480;443070.6;181;8249.31;1522.2;0.965;-0.02;0.019;-0.05;1.1202;0.8116
2013-11-01;317565.8;51478.5;369044.3;554396;446798.2;182.42;8221.8;1534.69;0.934;-0.021;0.019;-0.05;1.0962;0.8127
2013-11-08;317758;50876.4;368634.4;554396;446798.2;183.06;8240.92;1537.73;0.957;-0.03;0.021;-0.05;1.085;0.8118
2013-11-15;318408.7;50142.7;368551.4;554396;446798.2;185.01;8327.31;1556.94;0.952;-0.046;0.021;-0.05;1.093;0.8099
2013-11-22;319745.8;48745.2;368491;554396;446798.2;184.19;8250.43;1550.59;0.934;-0.08;0.019;-0.05;1.1029;0.8135
2013-11-29;319823.7;47961.4;367785.1;554396;446798.2;185.53;8264.2;1562.25;0.882;-0.086;0.015;0.02;1.1036;0.812
2013-12-06;317407.5;49286;366693.5;560324;446420.2;181.81;8066.07;1530.16;0.976;-0.044;0.019;-0.05;1.1213;0.8182
2013-12-13;316322.7;49986.3;366309;560324;446420.2;180;7828.91;1512.52;0.96;-0.053;0.022;0.02;1.1244;0.8182
2013-12-20;317071.3;48423.5;365494.8;560324;446420.2;186.37;8081.35;1568.46;1.03;-0.051;0.021;-0.05;1.1157;0.8163
2013-12-27;318519.4;45086.9;363606.3;560324;446420.2;188.8;8221.9;1591.69;1.082;-0.048;0.021;0.02;1.1216;0.8159
2014-01-03;317620.3;45356.2;362976.5;554429;443274.5;190.56;8270.46;1604.08;1.238;-0.024;0.022;-0.065;1.1045;0.813
2014-01-10;320783.1;43039.4;363822.5;554429;443274.5;192.9;8365.12;1618.1;1.231;-0.061;0.023;0.02;1.108;0.8107
2014-01-17;321471.2;43596.7;365067.9;554429;443274.5;193.86;8478.89;1621.27;1.14;-0.061;0.023;-0.05;1.0988;0.8114
2014-01-24;318849.1;47066.3;365915.4;554429;443274.5;189.84;8201.5;1585.25;1.04;-0.119;0.021;0.02;1.1178;0.8174
2014-01-31;316730.4;49143.2;365873.6;561178;447978.4;190.68;8191.33;1589.24;0.999;-0.142;0.018;0.02;1.1033;0.8182
2014-02-07;317118.9;48776.9;365895.8;561178;447978.4;192.03;8318.6;1604.9;0.997;-0.11;0.016;-0.05;1.1136;0.8166
2014-02-14;318032.7;48308.9;366341.6;561178;447978.4;194.8;8417.58;1633.33;1.026;-0.106;0.018;0;1.1201;0.8181
2014-02-21;316629.1;50037.2;366666.3;561178;447978.4;194.63;8431.78;1631.21;0.998;-0.092;0.018;0;1.1263;0.8198
2014-02-28;314915;51772;366687;563047;442151.1;197.81;8475.33;1664.18;0.991;-0.09;0.022;-0.05;1.1361;0.8231
2014-03-07;314224.4;52336.9;366561.3;563047;442151.1;198.37;8378.58;1672.94;1.01;-0.05;0.018;0.02;1.1387;0.8208
2014-03-14;314116.4;52955.2;367071.6;563047;442151.1;193.2;8114.02;1627.25;0.95;-0.069;0.02;-0.05;1.1464;0.8241
2014-03-21;316959.7;50816.2;367775.9;563047;442151.1;196.46;8289.76;1652.11;1.001;-0.059;0.025;0.02;1.1328;0.8212
2014-03-28;315907.5;51727.3;367634.8;563047;442151.1;198.12;8373.23;1670.59;0.93;-0.08;0.022;-0.05;1.1276;0.82
2014-04-04;314489.7;52761.1;367250.8;566449;445479.6;201.66;8503;1702.26;0.899;-0.095;0.018;-0.02;1.1208;0.8179
2014-04-11;316753.2;50768.6;367521.8;566449;445479.6;196.13;8298.82;1651.31;0.866;-0.005;0.016;-0.05;1.1415;0.8221
2014-04-18;314255;53344.2;367599.2;566449;445479.6;196.12;8375.08;1652.83;0.863;0.009;0.016;0.02;1.132;0.8195
2014-04-25;312949;54562.9;367511.9;566449;445479.6;198.37;8374.47;1670.58;0.797;-0.132;0.016;-0.02;1.1344;0.8201
2014-05-02;310509.7;56760.6;367270.3;567210;447444.8;200.03;8442.71;1684.42;0.82;0.006;0.018;-0.05;1.1389;0.8209
2014-05-09;308019.2;59219.7;367238.9;567210;447444.8;199.4;8510.39;1685.35;0.811;0.016;0.018;-0.08;1.1284;0.8201
2014-05-16;307013.3;60658;367671.3;567210;447444.8;196.57;8683.62;1660.54;0.736;-0.013;0.013;-0.09;1.1202;0.8181
2014-05-23;304123.2;63791.8;367915;567210;447444.8;198.85;8703.84;1680.61;0.782;0.002;0.014;-0.09;1.1161;0.8191
