Date;SNBSD;SPIEX;SMI;SMI Mid;CHF USD;CHF EUR
2005-06-24;70.9069141;117.5942915;106.7858326;113.1435994;1.2748;1.54095
2005-07-01;62.1584641;118.6340469;107.7568796;114.5252716;1.2959;1.55085
2005-07-08;71.50268668;120.7237513;108.312499;116.8989136;1.30215;1.55395
2005-07-15;61.09234475;123.3944954;110.8477915;120.5125177;1.29515;1.5597
2005-07-22;68.93858411;124.587156;111.4073576;121.1265942;1.2908;1.56375
2005-07-29;60.76880318;126.0958206;113.2667437;123.0160605;1.28515;1.561
2005-08-05;61.17358647;126.8705403;113.3835988;123.3230987;1.2657;1.56155
2005-08-12;60.87570018;127.3190622;114.0673985;123.658479;1.24785;1.55135
2005-08-19;66.04951469;128.2976555;113.8791605;125.198394;1.27605;1.54955
2005-08-26;67.6315902;127.1355759;110.5981231;122.9723666;1.25305;1.54525
2005-09-02;61.39735751;128.8685015;112.0860095;124.646906;1.22825;1.54115
2005-09-09;62.89676601;131.1518858;115.0296942;127.8637222;1.2422;1.5439
2005-09-16;54.43765055;133.0071356;116.860081;130.1027397;1.27065;1.55225
2005-09-23;82.44893887;132.5382263;116.4352158;129.0328295;1.2894;1.5562
2005-09-30;64.9263836;135.4230377;118.3802269;132.0264525;1.28925;1.55435
2005-10-07;82.85657274;133.088685;119.2050764;128.418753;1.2797;1.5504
2005-10-14;71.75923946;131.1314985;117.9047416;125.6435994;1.28475;1.5508
2005-10-21;60.01909893;128.0733945;117.569105;122.1563533;1.28585;1.545
2005-10-28;68.31002979;127.7879715;117.968746;122.2059518;1.27655;1.54465
2005-11-04;68.8559171;131.5902141;123.6327009;127.2472839;1.30665;1.5436
2005-11-11;57.59324981;132.0795107;126.1437987;128.1447803;1.31405;1.5382
2005-11-18;67.96653411;131.8756371;127.5175755;128.0751063;1.32145;1.54695
2005-11-25;77.27084848;133.2925586;128.6727422;129.5973075;1.3188;1.54725
2005-12-02;107.3986973;133.6493374;130.226692;130.4180444;1.32045;1.54395
2005-12-09;65.99962942;133.4454638;129.8514173;130.5821918;1.30135;1.53995
2005-12-16;81.22461196;133.2619776;128.5411301;129.6162022;1.2899;1.5486
2005-12-23;83.82434686;134.5565749;128.6579852;131.596599;1.3125;1.55775
2005-12-30;83.41813828;136.8501529;130.1352328;133.7742088;1.31795;1.5546
2006-01-06;78.74032582;140.7849134;132.4438503;138.7694851;1.2697;1.54225
2006-01-13;55.19448126;142.3547401;133.8857497;140.0165328;1.2831;1.5494
2006-01-20;59.81670729;141.4169215;132.0845338;137.853094;1.28355;1.5523
2006-01-27;60.004846;143.567788;133.4897121;140.2975909;1.278;1.55105
2006-02-03;64.53157737;145.5861366;134.5427808;141.8115257;1.2958;1.555
2006-02-10;56.49862459;146.6768603;134.8993519;142.7608644;1.30565;1.55525
2006-02-17;65.90983595;147.3802243;135.8525532;143.0761691;1.3118;1.56385
2006-02-24;85.90099913;150.254842;136.4910523;146.1725319;1.3172;1.56335
2006-03-03;72.5331737;152.3445464;135.83282;147.7103212;1.30145;1.56325
2006-03-10;67.14413991;151.3455657;136.7709211;146.5022437;1.3204;1.56875
2006-03-17;64.54155442;154.7706422;138.0832674;150.1949693;1.2925;1.57315
2006-03-24;79.52566241;157.0948012;138.0480908;153.1257676;1.31195;1.5761
2006-03-31;83.39960947;158.3282365;137.6745319;155.0191308;1.30685;1.58145
2006-04-07;72.17685039;161.3149847;139.0797103;157.6365139;1.3018;1.57695
2006-04-14;62.36655692;159.5107034;137.4006689;155.7621634;1.30015;1.57165
2006-04-21;52.80426448;162.9153925;138.8786028;159.7988899;1.27585;1.57425
2006-04-28;69.94341586;163.7716616;138.0860129;160.9070619;1.24375;1.56665
2006-05-05;88.94685081;166.3812436;138.2709906;163.7104393;1.22465;1.56005
2006-05-12;74.41598609;165.2191641;136.4871056;162.412376;1.20285;1.54955
2006-05-19;56.85494791;153.9347604;130.6555039;148.3532121;1.22325;1.55415
2006-05-26;105.2621827;153.7716616;131.7746361;150.0159424;1.22825;1.56235
2006-06-02;76.73208763;155.6778797;131.5277132;152.9416627;1.20655;1.56015
2006-06-09;70.44654438;149.3476045;127.5723137;145.3288852;1.23025;1.55575
2006-06-16;62.61028207;149.1437309;125.169663;146.4728389;1.23215;1.55735
2006-06-23;95.21671584;149.5412844;128.4513867;146.0288144;1.24765;1.56165
2006-06-30;88.50786049;152.8134557;131.304985;150.7007558;1.225;1.56635
2006-07-07;58.09067716;153.6595311;131.3583505;149.8614785;1.22185;1.56675
2006-07-14;58.15909123;151.019368;128.8113897;146.5732168;1.23675;1.56255
